Type,Status,Created Date,Delivered,Delivery Date,Received,Receive Date,Withdrawn,Withdraw Date,Expired,Expire Date,Locker Name,Locker Box Door,Locker Size,Pickup Duration,Delivery Duration,Collect Duration,Send Duration,Location Type,Address,Latitude,longitude,Borough,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
Receive,Completed,04/15/2024 02:56:00 PM,TRUE,04/15/2024 04:38:00 PM,TRUE,04/15/2024 02:56:00 PM,TRUE,04/15/2024 08:37:00 PM,TRUE,04/18/2024 04:38:00 PM,508-1,10,S,00.03.58.50,00.01.42.14,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/15/2024 03:27:00 PM,TRUE,04/15/2024 04:35:00 PM,TRUE,04/15/2024 03:27:00 PM,TRUE,04/15/2024 08:37:00 PM,TRUE,04/18/2024 04:35:00 PM,508-1,10,S,00.04.01.19,00.01.08.54,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/15/2024 03:31:00 PM,TRUE,04/15/2024 04:36:00 PM,TRUE,04/15/2024 03:31:00 PM,TRUE,04/16/2024 08:28:00 PM,TRUE,04/16/2024 04:36:00 PM,508-1,13,S,01.03.52.27,00.01.04.30,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/15/2024 03:34:00 PM,TRUE,04/15/2024 04:35:00 PM,TRUE,04/15/2024 03:34:00 PM,TRUE,04/15/2024 08:37:00 PM,TRUE,04/18/2024 04:35:00 PM,508-1,10,S,00.04.01.54,00.01.00.35,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/16/2024 02:42:00 PM,TRUE,04/16/2024 04:17:00 PM,TRUE,04/16/2024 02:42:00 PM,TRUE,04/16/2024 08:29:00 PM,TRUE,04/19/2024 04:17:00 PM,508-1,6,M,00.04.11.53,00.01.34.57,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/16/2024 02:42:00 PM,TRUE,04/16/2024 04:16:00 PM,TRUE,04/16/2024 02:42:00 PM,TRUE,04/16/2024 05:12:00 PM,TRUE,04/19/2024 04:16:00 PM,508-1,2,S,00.00.55.58,00.01.34.52,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/16/2024 02:53:00 PM,TRUE,04/16/2024 04:17:00 PM,TRUE,04/16/2024 02:53:00 PM,TRUE,04/16/2024 05:18:00 PM,TRUE,04/19/2024 04:17:00 PM,508-1,4,S,00.01.00.58,00.01.23.44,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/17/2024 02:42:00 PM,TRUE,04/17/2024 08:12:00 PM,TRUE,04/17/2024 02:42:00 PM,TRUE,04/17/2024 10:40:00 PM,TRUE,04/20/2024 08:12:00 PM,508-1,13,S,00.02.28.36,00.05.29.20,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/17/2024 02:42:00 PM,TRUE,04/17/2024 08:11:00 PM,TRUE,04/17/2024 02:42:00 PM,TRUE,04/17/2024 10:40:00 PM,TRUE,04/20/2024 08:11:00 PM,508-1,13,S,00.02.28.46,00.05.29.48,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/17/2024 02:43:00 PM,TRUE,04/17/2024 08:11:00 PM,TRUE,04/17/2024 02:43:00 PM,TRUE,04/17/2024 10:40:00 PM,TRUE,04/20/2024 08:11:00 PM,508-1,13,S,00.02.28.57,00.05.28.29,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/17/2024 02:45:00 PM,TRUE,04/17/2024 08:10:00 PM,TRUE,04/17/2024 02:45:00 PM,TRUE,04/17/2024 09:03:00 PM,TRUE,04/18/2024 08:10:00 PM,508-1,4,M,00.00.52.57,00.05.25.15,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/17/2024 02:48:00 PM,TRUE,04/17/2024 08:10:00 PM,TRUE,04/17/2024 02:48:00 PM,TRUE,04/23/2024 01:51:00 PM,TRUE,04/19/2024 08:10:00 PM,508-1,6,M,05.17.40.11,00.05.22.49,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/17/2024 02:56:00 PM,TRUE,04/17/2024 08:13:00 PM,TRUE,04/17/2024 02:56:00 PM,TRUE,04/18/2024 05:56:00 PM,TRUE,04/20/2024 08:13:00 PM,508-1,15,S,00.21.42.52,00.05.17.05,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
